"","expr","time"
"1","collapse2",5599005835
"2","collapse2",5972314035
"3","collapse",6147993318
"4","collapse2",6007394136
"5","dplyr",6310896593
"6","collapse",5525081940
"7","dplyr",6841151576
"8","collapse",5637924257
"9","dplyr",6227139830
"10","dplyr",6287408624
"11","collapse",5391283943
"12","collapse2",5361597862
"13","dplyr",6229011622
"14","dplyr",6184943521
"15","collapse",5099272891
"16","collapse2",5242169722
"17","dplyr",5745197118
"18","dplyr",6092452934
"19","collapse",5353596696
"20","collapse",5302456671
"21","collapse",5589507312
"22","collapse2",5439199926
"23","collapse2",5562466106
"24","collapse2",5628033880
"25","dplyr",6744343298
"26","collapse",5437762276
"27","collapse2",5892786886
"28","dplyr",6235807872
"29","collapse",5427381540
"30","collapse2",6295351841
