"","expr","time"
"1","dplyr",6578854215
"2","collapse2",5977494662
"3","dplyr",7375667509
"4","collapse2",5761410994
"5","dplyr",6818082899
"6","collapse2",6080325951
"7","collapse",5753065284
"8","dplyr",6542981620
"9","collapse2",5343499286
"10","collapse",6038268561
"11","collapse",5529685699
"12","collapse2",5306936411
"13","collapse2",5572887143
"14","dplyr",6337020264
"15","dplyr",6068376244
"16","collapse",5880625991
"17","dplyr",6089681185
"18","dplyr",6180455814
"19","collapse2",5259259488
"20","collapse",5788172079
"21","collapse",5289879087
"22","collapse2",5221203265
"23","collapse",5471377743
"24","dplyr",6236966916
"25","collapse2",5658961332
"26","dplyr",6472641849
"27","collapse",5330010658
"28","collapse",5550236854
"29","collapse2",5254481038
"30","collapse",5558583282
